propertyId;propertyType;name;district;coords;zipcode
273130;Hotel;Casual de la Música Valencia;Ciutat Vella, Valencia;-0.378859341144562,39.4700071010383;46001
274818;Hotel;Sweet Hotel Renasa;El Pla del Real, Valencia;-0.355263948440552,39.4780807470759;46010
274963;Hotel;Senator Parque Central Hotel;Eixample, Valencia;-0.375477075576782,39.4574480746338;46006
290493;Hotel;Melia Valencia;Benicalap, Valencia;-0.401277244091034,39.494700252591;46015
305447;Hotel;MD Modern Hotel - Jardines;Eixample, Valencia;-0.361691862344742,39.464117168803;46005
331871;Hotel;Primus Valencia;Camins al Grau, Valencia;-0.345542281866074,39.4577949536919;46023
348132;Hotel;Caro Hotel;Ciutat Vella, Valencia;-0.372019708156586,39.4759317311132;46003
403586;Hotel;Hotel Gabbeach;Poblados marítimos, Valencia;-0.323658138513565,39.4642424476428;46011
408511;Hotel;Hotel Alkazar;Ciutat Vella, Valencia;-0.374381393194199,39.4688651826659;46002
483261;Hotel;Hotel Malcom and Barret;Quatre Carreres, Valencia;-0.371004492044449,39.4507089588001;46013
538056;Hotel;Casual de las Artes Valencia;Camins al Grau, Valencia;-0.355919748544693,39.4670264787077;46021
572187;Hotel;Casual del Cine Valencia;Ciutat Vella, Valencia;-0.377622842788696,39.4690815584838;46002
754329;Hotel;Ilunion Valencia 4;Benicalap, Valencia;-0.397921800613403,39.4915354315626;46015
1106307;Hotel;Valencia Suits You Citytel;Ciutat Vella, Valencia;-0.36809116627046,39.4739624278856;46003
1117150;Hotel;AC Hotel Colon Valencia;Eixample, Valencia;-0.374372470232629,39.4673117440328;46004
1173270;Hotel;Ad Hoc Carmen;Ciutat Vella, Valencia;-0.376230699999951,39.4775181;46003
1279484;Hotel;Vincci Mercat;Ciutat Vella, Valencia;-0.378975500000024,39.4721912;46001
1281710;Hotel;Hotel Boutique Balandret;Poblados marítimos, Valencia;-0.323607906745906,39.4639382414638;46011
1301731;Hotel;Hotel Olympia Universidades;Benimaclet, Valencia;-0.363192558288574,39.4852426190732;46020
1307718;Hotel;Hotel San Lorenzo Boutique;Ciutat Vella, Valencia;-0.374922234358564,39.4780386945318;46003
1394168;Hotel;One Shot Colón 46;Eixample, Valencia;-0.3716005,39.4692545;46004
1619029;Hotel;MYR Hotel Plaza Mercado & Spa;Ciutat Vella, Valencia;-0.377597421088012,39.4733648433726;46001
1710241;Hotel;Casual Vintage Valencia;Ciutat Vella, Valencia;-0.37655632942915,39.471297560124;46002
1736257;Hotel;Cathedral Suites Hotel;Ciutat Vella, Valencia;-0.374787153372949,39.4748045479585;46003
1741479;Hotel;Hotel El Siglo;Ciutat Vella, Valencia;-0.376085900000021,39.4738758;46001
2118880;Hotel;MARQUÉS HOUSE 4* SUP;Ciutat Vella, Valencia;-0.375408992558846,39.4729746890462;46002
2274203;Hotel;One Shot Mercat 09;Ciutat Vella, Valencia;-0.37812560178304,39.4720668663669;46001
2334726;Hotel;Boutique Creative Rooms;Ciutat Vella, Valencia;-0.37696436047554,39.4715802492539;46002
2391685;Hotel;MD Design Hotel - Portal del Real;Ciutat Vella, Valencia;-0.372259500000041,39.477008;46003
3533887;Hotel;Opera House Valencia B&B;Camins al Grau, Valencia;-0.357392943620653,39.4629949946846;46023
3828811;Hotel;NH Collection Colón Valencia;Eixample, Valencia;-0.372448,39.468446;46004
4019381;Hotel;Hotel Valencia Alameda 41;Camins al Grau, Valencia;-0.352170682668657,39.459022128471;46023
4211140;Hotel;Reina Rooms;Ciutat Vella, Valencia;-0.375042,39.474259;46003
4533007;Hotel;YOU & CO. Saler Beach Boutique;Valencia;-0.332502765251093,39.3832848776198;46012
4639648;Hotel;Palacio Vallier 5*;Ciutat Vella, Valencia;-0.37691,39.476703;46003
4838858;Hotel;Hotel Cosmo;Ciutat Vella, Valencia;-0.377234,39.47273;46001
5142800;Hotel;Casual Socarrat Valencia;Ciutat Vella, Valencia;-0.371804,39.47298;46003
5159105;Hotel;Hotel Helen Berger; Ciutat Vella, Valencia;-0.372526,39.472235;46003
5213598;Hotel;YOU & CO Quart Boutique; Extramurs, Valencia;-0.386813,39.474691;46008
5219046;Hotel;Nest Style Valencia;Camins al Grau, Valencia;-0.352955,39.466163;46021
5250762;Hotel;Lindala;Poblados marítimos, Valencia;-0.333976,39.464771;46011

